City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,villa gesell,-37.2639,-56.973,297.04,78,2,3.02,AR,1702647713
157,novyy rogachik,48.6768,44.0608,267.65,85,100,7.45,RU,1702647714
158,priargunsk,50.3691,119.1012,234.95,100,81,1.06,RU,1702647714
159,laojunmiao,39.8333,97.7333,259.79,28,0,1.06,CN,1702647715
160,borkum,53.5809,6.6915,282.55,88,95,7.46,DE,1702647716
161,hammerfest,70.6634,23.6821,267.4,68,0,7.72,NO,1702647717
162,havre,49.5833,0.3333,283.37,62,100,2.57,FR,1702647717
163,napier,-39.4833,176.9167,288.13,72,16,2.08,NZ,1702647718
164,peabiru,-23.9128,-52.3431,305.67,37,12,3.39,BR,1702647719
165,tsiombe,-25.3,45.4833,306.09,46,24,4.94,MG,1702647719
166,jimma,7.6667,36.8333,294.3,71,100,0.96,ET,1702647720
167,keokuk,40.3973,-91.3849,280.42,60,0,2.57,US,1702647721
168,nkhata bay,-11.6066,34.2907,304.75,44,2,1.94,MW,1702647722
169,malango,-2.9627,119.9001,294.01,97,100,1.07,ID,1702647722
170,howrah,22.5892,88.3103,293.15,60,20,2.06,IN,1702647724
171,la asuncion,11.0333,-63.8628,300.45,76,92,4.89,VE,1702647725
172,glace bay,46.1969,-59.957,272.47,79,40,6.17,CA,1702647726
173,papao,-17.75,-149.55,300.97,80,100,9.1,PF,1702647727
174,manaure,11.7751,-72.4445,301.41,68,100,6.2,CO,1702647729
175,acarau,-2.8856,-40.12,305.34,52,56,7.24,BR,1702647730
176,gornopravdinsk,60.05,69.9,258.55,99,100,1.56,RU,1702647731
177,khovd,48.0056,91.6419,252.28,93,6,0.24,MN,1702647732
178,utrik,11.2278,169.8474,300.67,74,100,6.26,MH,1702647733
179,mankera,31.3866,71.4407,291.55,23,0,2.51,PK,1702647733
180,hastings,50.8552,0.5729,283.44,73,89,3.5,GB,1702647734
181,manggar,-2.8833,108.2667,301.48,75,99,1.54,ID,1702647735
182,motueka,-41.1333,173.0167,290.15,87,93,0.35,NZ,1702647736
183,pogradec,40.9025,20.6525,277.15,99,100,3.51,AL,1702647737
184,lichtenburg,-26.152,26.1597,295.65,53,100,8.95,ZA,1702647738
185,north bend,43.4065,-124.2243,282.08,81,0,4.12,US,1702647722
186,margaret river,-33.95,115.0667,288.63,72,46,6.56,AU,1702647740
187,tura,25.5198,90.2201,288.08,80,0,1.69,IN,1702647741
188,summerside,46.3959,-63.7876,276.08,69,9,8.23,CA,1702647742
189,saint-philippe,-21.3585,55.7679,302.92,82,48,4.47,RE,1702647742
190,ust-nera,64.5667,143.2,242.45,100,49,3.31,RU,1702647743
191,labrador city,52.9463,-66.9114,270.1,86,75,6.17,CA,1702647744
192,mount gambier,-37.8333,140.7667,282.76,86,51,2.91,AU,1702647721
193,port douglas,-16.4833,145.4667,299.06,89,100,5.52,AU,1702647746
194,sault ste. marie,46.5168,-84.3333,276.46,77,40,5.14,CA,1702647530
195,kargil,34.5667,76.1,269.78,42,0,2.07,IN,1702647749
196,miringa,10.7312,12.1463,304.13,17,13,3.59,NG,1702647750
197,labytnangi,66.6572,66.4183,245.49,98,31,1.15,RU,1702647751
198,karystos,38.0133,24.4161,293.71,82,37,4.41,GR,1702647751
199,emerald,-23.5333,148.1667,298.34,74,95,4.73,AU,1702647752
200,dryden,49.7833,-92.7503,269.31,100,100,2.57,CA,1702647753
201,ujae,8.9322,165.7642,300.71,78,97,8.21,MH,1702647753
202,thunder bay,48.4001,-89.3168,278.14,93,100,3.6,CA,1702647684
203,kolonia,50.9333,6.95,282.53,86,75,1.54,DE,1702647755
204,rawson,-43.3002,-65.1023,297.38,22,36,9.07,AR,1702647646
205,narasapur,16.45,81.6667,296.71,78,75,3.39,IN,1702647757
